experiment,exp_iterations,ret_iterations,exp_median_s,exp_mad_s,ret_median_s,ret_mad_s,reduction_percent
Cylinder,5,5,0.0045058299997435824,0.00048500000002604793,0.003921860999980709,9.521299989501131e-05,12.9602980981552
Sphere S3,4,1,0.010709340000175871,0.0004615759999069269,0.0025575390000085463,5.789099986941437e-05,76.11861235177382
Product torus,6,6,0.009887240999887581,0.0008425139999417297,0.008420968999871548,0.0002813289997902757,14.829940931273999
"Nonlinear SL(2,R)",5,5,0.17208369099989795,0.005869609000001219,0.015709361000062927,0.0006400229999599105,90.87109248483505
Nonlinear Stiefel field,7,7,0.057641478999812534,0.0005641559996547585,0.033331510000152775,0.0006381230004990357,42.17443657151618
Wahba on S3,3,3,0.008871159999671363,0.0008484959994348173,0.008167909000349027,0.0006370579999384063,7.927384911876101
Toroidal von Mises model,4,3,0.005741542000123445,7.64629999139288e-05,0.004185331999906339,8.103999971353915e-05,27.104391123214768
"Brockett on St(3,2)",4,4,0.0423113930000909,0.0018703520004237362,0.027628497000023344,0.001074845000403002,34.70199149443275
