k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,2.3391247049019154169838207304491183968239417647206,2.3391247049019154169838207304491183968239417647206,0.004200,0.003970
1,0.38106335789371107511785307416624717495402575610232,0.14921133098522765952166604914461209582903662974659,0.036781,0.030213
2,0.0014971296536227024143654370619332798099258300739849,0.000029452695478437105530870148635810996480688617703434,0.068347,0.060097
3,0.00000000014418747983130197558836695749262299162071976272757,2.5977377387549536122595936844599620538356237682548e-16,0.099895,0.085820
4,1.307331332291728068450279996399234080694679168024e-31,1.5502526587946227268280692989519185605095876610613e-48,0.128240,0.110914
5,9.6425089224868489704900279427607143977569929482776e-95,5.4505203635491588354983814252977417143300352907133e-145,0.156681,0.136953
6,3.8983005992776630591834345717516350973928430979909e-284,2.6125400502365007030656757799683355742129798203601e-434,0.186891,0.163861
7,2.5621602041085423980127551889846926371093702867377e-852,1.2549821662637590771730509788421373022792467861417e-1201,0.215074,0.188965
