k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,0.26060353641290956977273252638985219882884658835133,0.26060353641290956977273252638985219882884658835133,0.001357,0.001476
1,0.017623232506120876285677723157575081662248823716529,0.012805604900167175443285405675509440788138314205171,0.016806,0.013220
2,0.0000051499835424822169840615118754131446895613656019865,0.0000015374622252835308697614258429220047488279733536146,0.031659,0.025334
3,1.4190228297089270771502331255580418981465796382189e-16,3.0066127162991884907252445856575421304951677229195e-18,0.045072,0.037162
4,3.2188255991562261652664843083067036039179263180444e-48,2.4466314629056110260094185597845520451430102676572e-53,0.058293,0.049224
5,3.9863467906629753562346384379648824441013275746131e-143,1.3859495872027202323852531481010881898734734430538e-158,0.071708,0.061453
6,7.8839158138222953081071911669143783029481196242478e-428,2.5883417685597194556816266113252018283504397854443e-474,0.084551,0.073689
7,4.1196807888665362965201332246239295772048241148076e-1201,2.4641676251366040795456685552462023729177145738806e-1201,0.098081,0.085713
