k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,0.5,0.5,0.001096,0.000922
1,0.053725613987712053793563073216894078200128831793119,3.3637052786231640769337058384204901980053084793637e-1202,0.016217,0.014422
2,0.000051826581212744793233279511400440489464525625186159,,0.029973,
3,0.000000000000046401971158237433803543881255957749156852634730691,,0.043548,
4,3.3303358671793651684603776092348076884368781522719e-41,,0.057234,
5,1.2312403773224409821347021435919492702501660312415e-122,,0.071222,
6,6.2216745988640213455764363973336258473189256763598e-367,,0.084759,
7,8.0278754328219516023672957641495076088212421404999e-1100,,0.098664,
